Year completed,Date Completed,Project Code,Project Name,Regional Economic Development Council,NYISO Zone,NY State County,NY Region,Customer,Agency,Project category,Facility Description,Number of Facilities,Total Project Cost,First Year Bill Savings,Demand Reduction (KW),Electric Energy Reduction (kWh),Gas Savings (Therms),Oil Savings (Gallons),Steam Savings (M Lbs),Digester Gas Savings (CCF),Coal Savings (Tons),Equivalent Barrels of Oil Saved,Reduction in Greenhouse Gas Emissions (Tons),Renewable Energy (KW),Address,Address Ext,City,State,Zip,Project or Program description
2019,12/01/2019,ES-ESN-6086,STL Re-Licensing - St. Lawrence County Courthouse - LED Lighting,North Country,E - Mohawk Valley,ST. LAWRENCE,Northern,"ST. LAWRENCE, COUNTY OF",,Energy Efficiency - LED Lighting,"County, Municipal, & State Government Offices",1,291060,17632,71.9,175704,-2636,0,0,0,0,360.869,9.586182,0,48 Court St,,Canton,NY,13617,"The New York Power Authority (NYPA) will provide Turn Key Implementation Services, which includes Design, Engineering, and Construction Management for St. Lawrence County. The County would like to implement energy efficient lighting and automated controls at their courthouse facility to lower their energy consumption and overall electricity load.  This project is funded through NYPA's relicensing initiative and as such, the project is presented to the Town at no cost."
2019,12/01/2019,ES-ESN-6087,STL Re-Licensing - Town of Louisville - LED Lighting,North Country,E - Mohawk Valley,ST. LAWRENCE,Northern,"LOUISVILLE, TOWN OF",,Energy Efficiency - LED Lighting,"County, Municipal, & State Government Offices",1,77484,1270,10.9,15050,-320,0,0,0,0,29.22414,0.3207468,0,14810 SH 37,,Massena,NY,13362,"NYPA staff met with the Town of Louiville staff and elected officials and has identified LED lighting upgrades to the Louisville Arena. The project is to be funded through NYPA's relicensing initiative and as.such, th._e project is presented to the Town at rio cost."
2019,12/01/2019,ES-ESN-6092,STL Re-Licensing - Town of Massena - LED Lighting,North Country,E - Mohawk Valley,ST. LAWRENCE,Northern,"MASSENA, TOWN OF",,Energy Efficiency - LED Lighting,"Arenas, Armories, Convention Ctr, Museums, Halls",1,155524,1968,12.6,71650,-1692,0,0,0,0,12.93103,0.6318691,0,60 Main St,,Massena,NY,13362,"The New York Power Authority (NYPA) project for the Town of Massena will involve lighting upgrades from conventional interior and exterior lighting to energy efficient LED lighting technology at the Massena Arena.  This project is funded through NYPA's relicensing initiative and as such, the project is presented to the Town at no cost."
2019,11/27/2019,ES-ESN-0553,NYS DOCCS - Bare Hill Correctional Facility,North Country,E - Mohawk Valley,FRANKLIN,Northern,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Energy Efficiency - HVAC,Prisons and Correctional Facilities,,2812126,175237,140.9,1620892,0,18731,0,0,0,4231.879,409.4075,0,1220 Washington Avenue - Building #2,,Malone,NY,12953,"This project includes energy efficiency improvements to the Heating Ventilation and Air Conditioning (HVAC) system, Building Shell, Control and Lighting systems at the Bare Hill Correctional Facility."
2019,11/26/2019,ES-ESN-0555,NYS DOCCS - Franklin Correctional Facility,North Country,E - Mohawk Valley,FRANKLIN,Northern,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Energy Efficiency - HVAC,Prisons and Correctional Facilities,35,3614360,146502,276.7,1404823,0,27945,0,0,0,3970.035,474.7634,0,1220 Washington Avenue (Building 2),,Malone,NY,12953,11/26/2019. Project Reported Completed Based on Substantial Completion. Document posted to PCM. KD
2019,11/25/2019,ES-ESN-0631,OGS Syracuse State Office Building Boiler,Central New York,C - Central,ONONDAGA,Central,"State of New York (OGS, SUNY, all state agencies)",NYS Office of General Services,Energy Efficiency - Boiler/Chiller,"County, Municipal, & State Government Offices",1,1421992,7127,12.4,48509,8392,0,0,0,0,256.9121,51.08162,0,333 East Washington Street,,Syracuse,NY,13202,"Two exisiting, non-condensing, inefficient boilers boilers will be replaced with two new condensing boilers and a boiler for domestic hot water will be added to serve the summer load."
2019,11/20/2019,ES-GSN-0515,NYC DEP - Owl's Head WWTP - Ph.2: Improvements to the Engines Automation & Combustion Systems,New York City,J - New York City,KINGS,Southeastern,NYC DEPT OF ENVIRONMENTAL PROTECTION,NYC Department of Environmental Protection,Energy Efficiency - Wastewater Equipment,"Sewage Treatment, Landfill, and Water Supply Facilities",1,30426945,2156688,1562,13639000,-520281,503443,0,-129854000,0,12048.62,6333.854,0,Owls WPCP 6700 Shore Rd.,,Brooklyn,NY,11209,"Phase.2: Engine Control System: Remove and install new local control cabinet, engine mounted transducers, field wiring to off-engine fuel mounted devices and interposing electrical, pneumatic systems, etc.   Engine Combustion System: Modification will be made to the existing engines as necessary to install an electronically controlled, high-pressure, common rail fuel injection system, engine cylinder heads, turbochargers, existing fuel injection equipment, exhaust system, intake air system, etc.   Internal Engine Components overhaul"
2019,11/19/2019,ES-ESN-0544,NYS DOCCS - Adirondack Correctional Facility,North Country,F - Capital,ESSEX,Northern,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Energy Efficiency - Comprehensive,Prisons and Correctional Facilities,7,1974113,202943,53,1041546,0,39345,0,,0,3424.052,542.7454,0,196 Old Ray Brook Rd,,Ray Brook,NY,12977,"The scope of work is to upgrade existing electrical motors to energy efficient models, upgrade exterior and interior lighting with LED lighting, install boiler controls, and install building management systems (BMS)."
2019,11/13/2019,ES-GSN-0700,LIRR - Jamaica Headquarters Building,New York City,J - New York City,QUEENS,Southeastern,MTA - Metropolitan Transportation Authority,MTA - Long Island Railroad,Energy Efficiency - Comprehensive,"County, Municipal, & State Government Offices",1,1013961,38694,47,274398,5838,0,0,,0,735.1724,110.2995,0,93-02 Sutphin Blvd.,,Jamaica,NY,11435,Install new LED lighting thoughout the LIRR Jamaica Headquarters building and replace the main boilers with energy efficient boilers.
2019,11/07/2019,ES-ESN-5082,City of Buffalo - (5-Cities RTTT) - Community Centers - Lighting Upgrades,Western New York,A - West,ERIE,Western,"BUFFALO, CITY OF",,Energy Efficiency - LED Lighting,"County, Municipal, & State Government Offices",7,500000,22363,74.5,271636,-1555,0,0,0,0,601.4483,28.205,0,65 Niagara Square,,Buffalo,NY,14202,"This is an energy efficiency LED lighting and controls upgrade, across various city-owned Community Centers in the City of Buffalo."
2019,11/06/2019,ES-ESN-0576,SUNY Stony Brook Medical Ctr - Lighting & HVAC Upgrades,Long Island,K - Long Island,SUFFOLK,Southeastern,SUNY - State University of New York,State University of New York,Energy Efficiency - Comprehensive,Colleges and Universities,2,17616899,1314698,70,4987554,71290,0,41,,0,12769.23,3064.03,0,101 Nichols Road,,Stony Brook,NY,11794,"The scope of work includes Building Automated Control Optimization, Variable Air Volume (VAV) conversion, Fan & Pumps Variable Frequency Drive (VFD) installation, interior lighting upgrades and controls implemented across the following 2 buildings on the SBU Medical Campus: Health Sciences Center (HSC) and Basic Sciences Tower (BST)."
2019,10/17/2019,ES-GSN-0847,NYCT - Charleston Bus Depot Lighting,New York City,J - New York City,RICHMOND,Southeastern,MTA - Metropolitan Transportation Authority,MTA - New York City Transit Authority,Energy Efficiency - LED Lighting,"Transit Terminals, Bus and Train Depots, Airports",1,954381,101387,151.9,1124008,-1660,0,0,0,0,2570.707,315.9928,0,4700 Arthur Kill Road,,Staten Island,NY,10309,LED Lighting Project
2019,10/17/2019,ES-GSN-0898,NYCT - Spring Creek Bus Depot Lighting,New York City,J - New York City,KINGS,Southeastern,MTA - Metropolitan Transportation Authority,MTA - New York City Transit Authority,Energy Efficiency - LED Lighting,"Transit Terminals, Bus and Train Depots, Airports",1,543407,57154,72.7,545915,-13,0,0,0,0,1262.267,157.6862,0,12755 Flatlands Ave,,Brooklyn,NY,11208,The scope of work includes an energy efficienct LED lighting upgrade at the Spring Creek Bus Depot.
2019,10/15/2019,ES-GSN-0985,Village of Pelham - LED Street Lighting,Mid-Hudson,I - Dunwoodie,WESTCHESTER,Southeastern,"PELHAM, VILLAGE OF",,Energy Efficiency - LED Street Lighting,"Street Lighting, Bridges, Yards, Parkings",1,182890,22566,22,93800,0,0,0,0,0,216.8965,27.10576,0,195 Sparks Avenue,,Pelham,NY,10803,Through this project the streetlights in the Village of Pelham will be updated to LED technology.
2019,10/11/2019,ES-ESN-0597,NYS DOCCS - ASHRAE Level 2 Audits - Phase 5A,Multiple,,MULTIPLE,Multiple,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Energy Master Plan,Prisons and Correctional Facilities,10,900315,0,0,0,0,0,0,0,0,0,0,0,135 State Street,,Auburn,NY,13021,"The New York Power Authority (NYPA) will provide Audit Services for the Department of Corrections & Community Supervision’s (DOCCS) Auburn, Collins, Elmira, Five Points, Gowanda, Groveland, Lakeview, Southport, Willard, and Wyoming Correctional Facilities.  The proposed scope of work includes the development of an American Society of Heating, Refrigerating, and Air-Conditioning Engineers (ASHRAE) Level 2 audit to assist the customer with a road map of how to achieve their energy efficiency goals."
2019,10/02/2019,ES-GSN-0922,NYC Health and Hospitals - Elmhurst Hospital Center - Hot Water Heaters/Tanks,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYC Health & Hospitals Corporation,Energy Efficiency - HVAC,"Hospitals, Health, Shelters, Medical Centers",1,1382617,15484,89.5,53619,9130,0,0,0,0,281.4121,63.98393,0,79-01 Broadway,,Queens,NY,11373,"The scope of work is to install energy efficient, instantaneous hot water heaters at Elmhurst Hospital Center to replace the existing hot water tanks that are prone to legionnaires disease."
2019,09/25/2019,ES-ESN-0621,SUNY Brockport - Phase 7,Finger Lakes,B - Genesee,MONROE,Central,SUNY - State University of New York,State University of New York,Energy Efficiency - Comprehensive,Colleges and Universities,15,3721532,70419,295,846934,-475,0,0,0,0,1950.396,111.1672,0,350 New Campus Drive,,Brockport,NY,14420,"Retrofitting common area lighting and exterior lighting with LED, Pneumatic controls to Direct Digital Control (DDC) conversions, motor replacements, converting steam systems to hot water, chiller upgrades, transformer replacements, and demand control ventilation (DCV) in labs."
2019,09/09/2019,ES-ESN-0642,"Town of Clarkstown - DPW Lighting, Fenestration, HVAC and Police HQ and Town Hall Exterior Lighting",Mid-Hudson,G - Hudson Valley,ROCKLAND,Southeastern,"CLARKSTOWN, TOWN OF",,Energy Efficiency - Comprehensive,"Street Lighting, Bridges, Yards, Parkings",1,727567,41783,51,242572,18120,0,0,0,0,873.4,128.7975,0,12 & 14 Seeger Drive,,Nanuet,NY,10956,"The scope of work includes Energy Efficient Lighting Upgrades, Thermostat Replacement, Boiler Controls, Pipe Insulation, and Window & Door Upgrades at the Department of Public Works (DPW) and Exterior Lighting Upgrades at Town Hall and Police Headquarters (HQ). --------------------------------------------------------------------------------------------------  Audit of town garage for Town of Clarkstown, Level II Audit"
2019,08/29/2019,ES-GSN-0923,NYCT - Consolidated Revenue Facility LED Lighting,New York City,J - New York City,QUEENS,Southeastern,MTA - Metropolitan Transportation Authority,MTA - New York City Transit Authority,Energy Efficiency - LED Lighting,"County, Municipal, & State Government Offices",1,807769,79844,106.42,837764,-7285,0,0,0,0,1811.835,203.4014,0,46-25 Metropolitan Ave.,,Ridgewood,NY,11385,The scope of work includes an energy efficienct LED lighting upgrade at the NYCT Consolidated Revenue Facility.
2019,08/23/2019,ES-GSN-0818,NYS DOCCS - Energy Master Plan - Phase 4A (Sing Sing),Mid-Hudson,I - Dunwoodie,WESTCHESTER,Southeastern,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Energy Master Plan,Prisons and Correctional Facilities,1,88139,0,0,0,0,0,0,0,0,0,0,0,Sing Sing: 354 Hunter Street,,Ossining,NY,10562,The scope of work for this project includes development of an Energy Master Plan for the Sing Sing DOCCS facilities in support of the Build Smart NY initiative.
2019,08/23/2019,ES-ESN-0571,NYS DOCCS - Energy Master Plan - Phase 4B (Lower Hudson),Multiple,,MULTIPLE,Multiple,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Energy Master Plan,Prisons and Correctional Facilities,1,253783,0,0,0,0,0,0,0,0,0,0,0,"Bedford and Taconic, 247-250 Harris Road",,Bedford Hills,NY,10507,"The scope of work for this project includes development of an Energy Master Plan for the following DOCCS facilities: Bedford, Taconic, Downstate, Sullivan and Woodbourne in support of the Build Smart NY initiative."
2019,08/23/2019,ES-ESN-0598,NYS DOCCS - Energy Master Plan - Phase 5C - ASHRAE Level II Audits,Mid-Hudson,G - Hudson Valley,DUTCHESS,Southeastern,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Energy Master Plan,Prisons and Correctional Facilities,2,131236,0,0,0,0,0,0,0,0,0,0,0,,,,NY,,ASHRAE Level II Audits at Green Haven and Otisville Correctional Facilities
2019,08/15/2019,ES-ESN-0606,SUNY Upstate Medical University - LED Lighting - Audit Only,Central New York,C - Central,ONONDAGA,Central,SUNY - State University of New York,State University of New York,Energy Audit / Feasibility Study,"County, Municipal, & State Government Offices",1,55680,,,0,0,0,0,0,0,0,0,0,SUNY Upstate Medical University,,Syracuse,NY,13210,"AUDIT ONLY: The scope of this project includes installation of Energy Efficient LED Lighting at all SUNY Upstate Medical buildings, interior and exterior."
2019,08/12/2019,ES-ESN-0532,NYS DOCCS - ASHRAE Level 2 Audits - Phase 2,Multiple,,MULTIPLE,Multiple,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Energy Master Plan,Prisons and Correctional Facilities,11,398566,0,0,0,0,0,0,,0,0,0,0,Harriman State Campus Building 2,1220 Washington Avenue,Albany,NY,12226,"The scope of work for this project includes development of an ASHRAE Level 2 Audit for each of the following DOCCS facilities: Cape Vincent, Cayuga, Gouverneur, Hale Creek, Marcy, Mid-State, Mohawk, Ogdensburg, Queensboro, Riverview, & Watertown."
2019,08/12/2019,ES-ESN-0572,NYS DOCCS - ASHRAE Level 2 Audits - Phase 4C,Finger Lakes,A - West,ORLEANS,Western,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Energy Master Plan,Prisons and Correctional Facilities,1,229040,0,0,0,0,0,0,0,0,0,0,0,"Albion,  Attica,  Livingston, Orleans, and Wende",,Attica,NY,14011,"The scope of work for this project includes development of an ASHRAE Level 2 Audit for each of the following DOCCS facilities: Albion, Attica, Livingston, Orleans, and Wende in support of the Build Smart NY initiative."
2019,08/08/2019,ES-ESN-0558,NYS Office of Children and Family Services - Outdoor Lighting,Capital District,F - Capital,ALBANY,Central,"State of New York (OGS, SUNY, all state agencies)",NYS Office of Children and Family Services,Energy Efficiency - LED Lighting,"Street Lighting, Bridges, Yards, Parkings",8,981508,49123,0,546640,0,0,0,0,0,1264.2,73.37931,0,52 Washington Street,,Resselaer,NY,12144,"The scope of work is to upgrade outdoor lighting with energy efficient lighting at the following OCFS facilities: Industry Residential Center, Taberg Residential Center for Girls, Sgt. Henry Johnson Youth Leadership, MacCormick Secure Center, Columbia Girls Secure Center, Brookwood Secure Center, Highland Residential Center and Goshen Secure Center."
